Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-,WIN
12,12,2022-11-12,23-257,DAL,0,POR,2,10,3,1,37:41,13,22,0.591,1,5,0.2,15,18,0.833,13,10,2,1,3,42,42.2,6,1
13,13,2022-11-15,23-260,DAL,0,LAC,3,9,2,1,39:43,11,22,0.5,2,5,0.4,11,11,1.0,11,5,3,0,3,35,30.4,4,1
15,14,2022-11-18,23-263,DAL,0,DEN,2,11,1,1,34:52,11,22,0.5,2,7,0.286,9,11,0.818,12,11,1,0,1,33,31.5,25,1
16,15,2022-11-20,23-265,DAL,0,DEN,4,9,0,1,35:39,7,16,0.438,2,8,0.25,6,10,0.6,9,8,1,0,2,22,16.5,1,0
17,16,2022-11-23,23-268,DAL,1,BOS,5,7,1,1,39:36,17,28,0.607,3,8,0.375,5,9,0.556,8,9,0,0,4,42,30.1,-13,0
18,17,2022-11-26,23-271,DAL,1,TOR,4,7,0,1,42:43,8,15,0.533,2,4,0.5,6,9,0.667,7,9,2,1,2,24,21.8,2,0
19,18,2022-11-27,23-272,DAL,1,MIL,6,5,0,1,35:05,10,20,0.5,3,7,0.429,4,9,0.444,5,12,0,0,2,27,18.1,-10,0
20,19,2022-11-29,23-274,DAL,0,GSW,5,10,2,1,39:17,14,27,0.519,4,9,0.444,9,15,0.6,12,12,4,1,3,41,36.6,22,1
21,20,2022-12-01,23-276,DAL,1,DET,3,5,0,1,41:02,13,25,0.52,7,14,0.5,2,6,0.333,5,10,3,0,3,35,28.4,-13,0
22,21,2022-12-03,23-278,DAL,1,NYK,5,8,0,1,29:28,11,21,0.524,4,9,0.444,4,4,1.0,8,7,1,3,2,30,24.3,13,1
23,22,2022-12-05,23-280,DAL,0,PHO,3,5,1,1,29:25,12,20,0.6,4,9,0.444,5,7,0.714,6,8,1,2,3,33,29.0,20,1
24,23,2022-12-06,23-281,DAL,1,DEN,5,10,0,1,37:20,5,17,0.294,4,9,0.444,8,9,0.889,10,12,0,1,2,22,18.0,7,1
25,24,2022-12-09,23-284,DAL,0,MIL,1,5,1,1,36:33,13,28,0.464,3,11,0.273,4,10,0.4,6,11,2,0,2,33,26.3,6,0
27,25,2022-12-12,23-287,DAL,0,OKC,4,11,0,1,36:59,13,27,0.481,3,10,0.3,9,10,0.9,11,8,0,0,3,38,27.6,1,1
28,26,2022-12-14,23-289,DAL,0,CLE,5,3,2,1,39:19,9,23,0.391,2,8,0.25,10,11,0.909,5,6,1,1,4,30,18.7,-20,0
29,27,2022-12-16,23-291,DAL,0,POR,4,6,0,1,28:49,11,18,0.611,5,9,0.556,6,7,0.857,6,9,0,0,3,33,27.3,16,1
31,28,2022-12-19,23-294,DAL,1,MIN,4,5,1,1,28:24,5,17,0.294,3,8,0.375,6,7,0.857,6,7,1,0,2,19,12.0,-14,0
32,29,2022-12-21,23-296,DAL,1,MIN,4,8,1,1,37:04,8,16,0.5,1,5,0.2,8,9,0.889,9,10,3,0,1,25,25.3,7,1
