Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,R,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-
56,45,2020-02-21,20-358,DAL,@,ORL,6,10,W (+16),0,1,34:26,10,21,.476,4,8,.500,9,12,.750,10,8,1,1,0,33,25.4,+13
58,46,2020-02-24,20-361,DAL,,MIN,3,7,W (+16),2,1,25:13,7,16,.438,1,6,.167,5,8,.625,9,7,2,1,3,20,17.3,+1
59,47,2020-02-26,20-363,DAL,@,SAS,7,9,W (+6),1,1,37:09,10,25,.400,3,11,.273,3,4,.750,10,14,1,0,5,26,17.3,+14
60,48,2020-02-28,21-000,DAL,@,MIA,6,4,L (-8),0,1,38:11,7,17,.412,0,6,.000,9,9,1.000,4,10,0,0,4,23,14.5,+6
62,49,2020-03-02,21-003,DAL,@,CHI,4,5,L (-2),0,1,38:27,8,20,.400,1,8,.125,6,9,.667,5,9,1,0,3,23,14.6,+10
63,50,2020-03-04,21-005,DAL,,NOP,7,16,W (+4),1,1,40:57,9,20,.450,4,11,.364,8,13,.615,17,10,1,1,2,30,24.0,-5
64,51,2020-03-06,21-007,DAL,,MEM,1,4,W (+25),0,1,30:03,7,20,.350,2,8,.250,5,8,.625,4,6,2,0,1,21,14.6,-6
65,52,2020-03-08,21-009,DAL,,IND,3,9,L (-3),1,1,36:17,13,26,.500,4,13,.308,6,10,.600,10,8,2,0,3,36,28.2,+2
66,53,2020-03-10,21-011,DAL,@,SAS,5,6,L (-10),1,1,36:17,13,26,.500,6,13,.462,6,7,.857,7,8,2,0,3,38,28.5,-9
67,54,2020-03-11,21-012,DAL,,DEN,2,5,W (+16),1,1,39:32,10,22,.455,2,8,.250,6,11,.545,6,9,2,0,2,28,22.3,+3
68,55,2020-07-31,21-154,DAL,,HOU,8,11,L (-4),2,1,42:08,11,27,.407,1,9,.111,5,9,.556,13,10,1,1,6,28,14.9,0
69,56,2020-08-02,21-156,DAL,@,PHO,6,8,L (-2),0,1,38:11,11,20,.550,0,3,.000,18,19,.947,8,11,0,0,4,40,32.5,+3
70,57,2020-08-04,21-158,DAL,@,SAC,6,16,W (+4),4,1,43:31,12,24,.500,2,6,.333,8,11,.727,20,12,0,2,3,34,31.0,+3
71,58,2020-08-06,21-160,DAL,,LAC,4,3,L (-15),0,1,35:01,10,21,.476,6,13,.462,3,6,.500,3,6,0,0,2,29,17.4,-21
72,59,2020-08-08,21-162,DAL,,MIL,2,13,W (+4),1,1,41:34,12,24,.500,3,9,.333,9,10,.900,14,19,1,0,1,36,40.1,+12
74,60,2020-08-11,21-165,DAL,,POR,6,7,L (-3),1,1,34:40,8,19,.421,2,8,.250,7,9,.778,8,10,0,1,1,25,18.2,-3
75,61,2020-08-13,21-167,DAL,@,PHO,1,4,L (-26),1,1,13:14,5,9,.556,1,2,.500,7,7,1.000,5,0,1,0,2,18,14.8,-2
1,1,2020-12-23,21-299,DAL,@,PHO,1,6,L (-4),2,1,35:57,11,26,.423,0,6,.000,10,12,.833,8,5,0,0,2,32,22.3,-9
2,2,2020-12-25,21-301,DAL,@,LAL,3,4,L (-23),0,1,34:08,9,19,.474,2,5,.400,7,8,.875,4,7,0,1,0,27,20.7,-14
3,3,2020-12-27,21-303,DAL,@,LAC,2,9,W (+51),0,1,25:55,8,18,.444,0,5,.000,8,9,.889,9,8,1,0,0,24,21.5,+29
4,4,2020-12-30,21-306,DAL,,CHO,3,2,L (-19),0,1,24:04,4,10,.400,0,5,.000,4,7,.571,2,5,2,0,3,12,7.3,-27
5,5,2021-01-01,21-308,DAL,,MIA,5,14,W (+10),1,1,35:49,9,22,.409,3,10,.300,6,9,.667,15,7,0,1,2,27,18.7,+12
7,6,2021-01-04,21-311,DAL,@,HOU,8,14,W (+13),2,1,37:55,12,25,.480,3,10,.300,6,6,1.000,16,11,0,0,3,33,24.4,+28
8,7,2021-01-07,21-314,DAL,@,DEN,8,9,W (+7),0,1,43:17,13,22,.591,2,7,.286,10,15,.667,9,13,5,1,0,38,35.3,+14
9,8,2021-01-09,21-316,DAL,,ORL,6,9,W (+14),1,1,34:37,7,20,.350,3,9,.333,3,3,1.000,10,10,1,2,1,20,15.2,0
10,9,2021-01-13,21-320,DAL,@,CHO,4,11,W (+11),2,1,34:48,14,25,.560,5,9,.556,1,2,.500,13,9,2,4,3,34,32.3,+14
